final score,7017232: I am a gamer.,7017233: How many days per week do you game?,7017234: How often do you game in a team?,7017235: List the top 5 games you play with the most frequent first.,7017236: Does your gaming make you a better team player? How?,CODE,Gamer Group
10,True,2,Most of the time,"Fortnite,League of Legends,Call Of Duty,Fall guys,WoW","I think so, the constant communication helps with navigating immediate responses to circumstances in a more **efficient** manner. ",COM-EFF,Low Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by encouraging teamplay, **clear communication** under duress, and (in some cases) strategizing or planning. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and **understandable** way. Ex., saying ""Two pushing, 300"" doesn't mean much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in teams in real life is developing and refining these communication strategies to help achieve the goals of the group.",COM-CLR,High Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by encouraging teamplay, clear communication under duress, and (in some cases) **strategizing** or **planning**. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and understandable way. Ex., saying ""Two pushing, 300"" doesn't mean much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in teams in real life is developing and refining these communication strategies to help achieve the goals of the group.",PRO-STR,High Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by encouraging teamplay, clear communication under duress, and (in some cases) strategizing or planning. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and understandable way. Ex., saying ""Two pushing, 300"" doesn't mean much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in **teams** in real life is developing and refining these communication strategies to help achieve the goals of the **group**.",INT-GRP,High Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by encouraging teamplay, clear communication under duress, and (in some cases) strategizing or planning. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and understandable way. Ex., saying ""Two pushing, 300"" doesn't mean much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in teams in real life is developing and refining these communication strategies to **help** achieve the goals of the group.",INT-OTH,High Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by **encouraging** teamplay, clear communication under duress, and (in some cases) strategizing or planning. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and understandable way. Ex., saying ""Two pushing, 300"" doesn't mean much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in teams in real life is developing and refining these communication strategies to help achieve the goals of the group.",INT-ENC,High Frequency
44,True,6,Half of the time,"Factorio,Hunt: Showdown,Risk of Rain,ULTRAKILL,Minecraft","Gaming so often helps me by encouraging teamplay, clear communication under duress, and (in some cases) strategizing or planning. The biggest element of playing a game with a team successfully is having a common language with your teammates that lets you communicate complex ideas in a simple and understandable way. Ex., saying ""Two pushing, 300"" doesn't **mean** much on its own, but communicates to someone with knowledge about game systems and your own teamplay experience that ""There are two enemies, in the direction of '300', coming towards us (and you should probably do something about that)."" In the same way, much of working in teams in real life is developing and refining these communication strategies to help achieve the goals of the group.",DEF-ISO,High Frequency
48,True,1,Some of the time,"Super Mario Bros 2 NES,Donkey Kong NES,Minecraft,Borderlands 2,Call of Duty Modern Warfare",Yes. Depending on the game it helps to have multiple people vs a **solo** player it can provide different perspectives on solving a stage or issue in the game. ,DEF-SLO,Low Frequency
49,True,4,Half of the time,"Valorant,Rocket League,Stardew Valley,Dead by Daylight,Assassins creed",I would say yes due to the fact that it has improved my **coordinating** abilities with other people and that doing your part in a team is what really gets people to that end goal of winning the game. ,CLB-COP,High Frequency
49,True,4,Half of the time,"Valorant,Rocket League,Stardew Valley,Dead by Daylight,Assassins creed",I would say yes due to the fact that it has improved my coordinating **abilities** with other people and that doing your part in a team is what really gets people to that end goal of winning the game. ,CLB-MNG,High Frequency
49,True,4,Half of the time,"Valorant,Rocket League,Stardew Valley,Dead by Daylight,Assassins creed",I would say yes due to the fact that it has improved my coordinating abilities with other people and that doing your part in a team is what really gets people to that end **goal** of winning the game. ,PRO-GOL,High Frequency
52,True,5,Half of the time,"Fortnite,Counter Strike,Elden Ring,Rust,Squad","Yes, its easier to solve more problems if task are assigned and people are able to focus on a **specific** role",COM-CLR,High Frequency
52,True,5,Half of the time,"Fortnite,Counter Strike,Elden Ring,Rust,Squad","Yes, its easier to solve more problems if task are assigned and people are able to focus on a specific **role**",CLB-MNG,High Frequency
